model,strategy_a,strategy_b,n,a_only_correct,b_only_correct,mcnemar_exact_p
llava15_7b,freeform_nice_critic,logit_cascade,174,73,31,4.7e-05
qwen25_vl_7b,freeform_brutal_critic,freeform_indifferent_critic,174,23,42,0.024812
qwen25_vl_7b,freeform_brutal_critic,freeform_inspector,174,17,47,0.000227
qwen25_vl_7b,freeform_brutal_critic,freeform_neutral,174,27,57,0.001404
qwen25_vl_7b,freeform_brutal_critic,freeform_nice_critic,174,25,48,0.009542
qwen25_vl_7b,freeform_brutal_critic,logit_cascade,174,23,54,0.000539
qwen25_vl_7b,freeform_indifferent_critic,freeform_inspector,174,9,20,0.061428
qwen25_vl_7b,freeform_indifferent_critic,freeform_neutral,174,4,15,0.019211
qwen25_vl_7b,freeform_indifferent_critic,freeform_nice_critic,174,2,6,0.289062
qwen25_vl_7b,freeform_indifferent_critic,logit_cascade,174,3,15,0.007538
qwen25_vl_7b,freeform_inspector,freeform_neutral,174,20,20,1.0
qwen25_vl_7b,freeform_inspector,freeform_nice_critic,174,19,12,0.281042
qwen25_vl_7b,freeform_inspector,logit_cascade,174,17,18,1.0
qwen25_vl_7b,freeform_neutral,freeform_nice_critic,174,9,2,0.06543
qwen25_vl_7b,freeform_neutral,logit_cascade,174,4,5,1.0
qwen25_vl_7b,freeform_nice_critic,logit_cascade,174,2,10,0.038574
qwen2_vl_7b,freeform_brutal_critic,freeform_indifferent_critic,174,11,16,0.442068
qwen2_vl_7b,freeform_brutal_critic,freeform_inspector,174,4,11,0.118469
qwen2_vl_7b,freeform_brutal_critic,freeform_neutral,174,13,20,0.296206
qwen2_vl_7b,freeform_brutal_critic,freeform_nice_critic,174,23,24,1.0
qwen2_vl_7b,freeform_brutal_critic,logit_cascade,174,31,21,0.211609
qwen2_vl_7b,freeform_indifferent_critic,freeform_inspector,174,14,16,0.855536
qwen2_vl_7b,freeform_indifferent_critic,freeform_neutral,174,4,6,0.753906
qwen2_vl_7b,freeform_indifferent_critic,freeform_nice_critic,174,14,10,0.541256
qwen2_vl_7b,freeform_indifferent_critic,logit_cascade,174,30,15,0.035698
qwen2_vl_7b,freeform_inspector,freeform_neutral,174,17,17,1.0
qwen2_vl_7b,freeform_inspector,freeform_nice_critic,174,27,21,0.470879
qwen2_vl_7b,freeform_inspector,logit_cascade,174,36,19,0.030029
qwen2_vl_7b,freeform_neutral,freeform_nice_critic,174,10,4,0.179565
qwen2_vl_7b,freeform_neutral,logit_cascade,174,33,16,0.021294
qwen2_vl_7b,freeform_nice_critic,logit_cascade,174,37,26,0.207368
