model,task,strategy,n,accuracy,macro_f1,packaged_precision,packaged_recall,packaged_f1,produce_precision,produce_recall,produce_f1,bakery_precision,bakery_recall,bakery_f1,parse_fail_rate,confusion_matrix,fresh_precision,fresh_recall,fresh_f1,edible_soon_precision,edible_soon_recall,edible_soon_f1,spoiled_precision,spoiled_recall,spoiled_f1
internvl3_8b,freshness,freeform_neutral,174,0.5862,0.4062,,,,,,,,,,0.0,"[[89, 16, 3], [23, 8, 2], [13, 15, 5]]",0.712,0.8241,0.7639,0.2051,0.2424,0.2222,0.5,0.1515,0.2326
internvl3_8b,freshness,freeform_nice_critic,174,0.5632,0.3439,,,,,,,,,,0.0,"[[86, 22, 0], [21, 12, 0], [9, 24, 0]]",0.7414,0.7963,0.7679,0.2069,0.3636,0.2637,0.0,0.0,0.0
internvl3_8b,freshness,logit_cascade,174,0.569,0.4985,,,,,,,,,,0.0,"[[71, 30, 7], [15, 16, 2], [2, 19, 12]]",0.8068,0.6574,0.7245,0.2462,0.4848,0.3265,0.5714,0.3636,0.4444
llama32_11b_vision,freshness,freeform_brutal_critic,174,0.3506,0.2602,,,,,,,,,,0.0,"[[28, 80, 0], [0, 33, 0], [0, 33, 0]]",1.0,0.2593,0.4118,0.226,1.0,0.3687,0.0,0.0,0.0
llama32_11b_vision,freshness,freeform_indifferent_critic,174,0.3218,0.2545,,,,,,,,,,0.0,"[[25, 83, 0], [3, 30, 0], [0, 32, 1]]",0.8929,0.2315,0.3676,0.2069,0.9091,0.3371,1.0,0.0303,0.0588
llama32_11b_vision,freshness,freeform_inspector,174,0.4885,0.3862,,,,,,,,,,0.1724,"[[66, 13, 29], [21, 6, 6], [11, 9, 13]]",0.6735,0.6111,0.6408,0.2143,0.1818,0.1967,0.2708,0.3939,0.321
llama32_11b_vision,freshness,freeform_neutral,174,0.4885,0.3405,,,,,,,,,,0.0,"[[68, 40, 0], [17, 16, 0], [5, 27, 1]]",0.7556,0.6296,0.6869,0.1928,0.4848,0.2759,1.0,0.0303,0.0588
llama32_11b_vision,freshness,freeform_nice_critic,174,0.5115,0.347,,,,,,,,,,0.0,"[[69, 39, 0], [13, 20, 0], [5, 28, 0]]",0.7931,0.6389,0.7077,0.2299,0.6061,0.3333,0.0,0.0,0.0
llama32_11b_vision,freshness,logit_cascade,174,0.5057,0.384,,,,,,,,,,0.0,"[[68, 40, 0], [14, 17, 2], [4, 26, 3]]",0.7907,0.6296,0.701,0.2048,0.5152,0.2931,0.6,0.0909,0.1579
llava15_7b,freshness,freeform_brutal_critic,174,0.5632,0.3847,,,,,,,,,,0.0,"[[75, 0, 33], [19, 0, 14], [10, 0, 23]]",0.7212,0.6944,0.7075,0.0,0.0,0.0,0.3286,0.697,0.4466
llava15_7b,freshness,freeform_indifferent_critic,174,0.5345,0.3852,,,,,,,,,,0.0,"[[60, 0, 48], [14, 0, 19], [0, 0, 33]]",0.8108,0.5556,0.6593,0.0,0.0,0.0,0.33,1.0,0.4962
llava15_7b,freshness,freeform_inspector,174,0.5402,0.3845,,,,,,,,,,0.0,"[[64, 0, 44], [14, 0, 19], [3, 0, 30]]",0.7901,0.5926,0.6772,0.0,0.0,0.0,0.3226,0.9091,0.4762
llava15_7b,freshness,freeform_neutral,174,0.5805,0.3441,,,,,,,,,,0.0,"[[91, 0, 17], [26, 0, 7], [23, 0, 10]]",0.65,0.8426,0.7339,0.0,0.0,0.0,0.2941,0.303,0.2985
llava15_7b,freshness,freeform_nice_critic,174,0.6092,0.3115,,,,,,,,,,0.0,"[[102, 0, 6], [32, 0, 1], [29, 0, 4]]",0.6258,0.9444,0.7528,0.0,0.0,0.0,0.3636,0.1212,0.1818
llava15_7b,freshness,logit_cascade,174,0.3678,0.386,,,,,,,,,,0.0,"[[29, 70, 9], [6, 20, 7], [0, 18, 15]]",0.8286,0.2685,0.4056,0.1852,0.6061,0.2837,0.4839,0.4545,0.4688
qwen25_vl_7b,freshness,freeform_brutal_critic,174,0.4368,0.3784,,,,,,,,,,0.0,"[[48, 57, 3], [7, 23, 3], [7, 21, 5]]",0.7742,0.4444,0.5647,0.2277,0.697,0.3433,0.4545,0.1515,0.2273
qwen25_vl_7b,freshness,freeform_indifferent_critic,174,0.546,0.3131,,,,,,,,,,0.0,"[[87, 21, 0], [25, 8, 0], [17, 16, 0]]",0.6744,0.8056,0.7342,0.1778,0.2424,0.2051,0.0,0.0,0.0
qwen25_vl_7b,freshness,freeform_inspector,174,0.6092,0.4632,,,,,,,,,,0.0,"[[86, 7, 15], [18, 6, 9], [13, 6, 14]]",0.735,0.7963,0.7644,0.3158,0.1818,0.2308,0.3684,0.4242,0.3944
qwen25_vl_7b,freshness,freeform_neutral,174,0.6092,0.3099,,,,,,,,,,0.0,"[[102, 6, 0], [29, 4, 0], [22, 11, 0]]",0.6667,0.9444,0.7816,0.1905,0.1212,0.1481,0.0,0.0,0.0
qwen25_vl_7b,freshness,freeform_nice_critic,174,0.569,0.3097,,,,,,,,,,0.0,"[[93, 15, 0], [27, 6, 0], [20, 13, 0]]",0.6643,0.8611,0.75,0.1765,0.1818,0.1791,0.0,0.0,0.0
qwen25_vl_7b,freshness,logit_cascade,174,0.6149,0.3568,,,,,,,,,,0.0,"[[99, 9, 0], [26, 7, 0], [19, 13, 1]]",0.6875,0.9167,0.7857,0.2414,0.2121,0.2258,1.0,0.0303,0.0588
qwen2_vl_7b,freshness,freeform_brutal_critic,174,0.6207,0.4434,,,,,,,,,,0.0,"[[83, 6, 19], [21, 0, 12], [4, 4, 25]]",0.7685,0.7685,0.7685,0.0,0.0,0.0,0.4464,0.7576,0.5618
qwen2_vl_7b,freshness,freeform_indifferent_critic,174,0.6494,0.4714,,,,,,,,,,0.0,"[[96, 6, 6], [27, 3, 3], [10, 9, 14]]",0.7218,0.8889,0.7967,0.1667,0.0909,0.1176,0.6087,0.4242,0.5
qwen2_vl_7b,freshness,freeform_inspector,174,0.6609,0.4615,,,,,,,,,,0.0,"[[86, 0, 22], [19, 0, 14], [4, 0, 29]]",0.789,0.7963,0.7926,0.0,0.0,0.0,0.4462,0.8788,0.5918
qwen2_vl_7b,freshness,freeform_neutral,174,0.6609,0.4387,,,,,,,,,,0.0,"[[102, 2, 4], [30, 1, 2], [16, 5, 12]]",0.6892,0.9444,0.7969,0.125,0.0303,0.0488,0.6667,0.3636,0.4706
qwen2_vl_7b,freshness,freeform_nice_critic,174,0.6264,0.3425,,,,,,,,,,0.0,"[[104, 4, 0], [30, 3, 0], [18, 13, 2]]",0.6842,0.963,0.8,0.15,0.0909,0.1132,1.0,0.0606,0.1143
qwen2_vl_7b,freshness,logit_cascade,174,0.5632,0.5068,,,,,,,,,,0.0,"[[70, 33, 5], [17, 12, 4], [2, 15, 16]]",0.7865,0.6481,0.7107,0.2,0.3636,0.2581,0.64,0.4848,0.5517
